pid,ipc1,YEAR,tech,com
US2295968,G06M 3,1940,counter system,Production Instr Co
US2300505,H04Q 3,1940,selective system,Bell Telephone Labor Inc
US2300999,H03K 17,1940,electric counting,Westinghouse Electric & Mfg Co
US2301199,H04N 1,1940,facsimile system,Bell Telephone Labor Inc
US2302025,G06F 3,1940,computing device,Ibm
US2303654,G05B 11,1940,control machine,Honeywell Regulator Co
US2305930,H03K 4,1940,television system,Rca Corp
US2306456,G01R 13,1940,measure record,Olive S Petty
US2308620,G05D 3,1940,electric control,Lear Avia Inc
US2311359,G08G 1,1940,control system,Automatic Signal Corp
US2311455,G08B 27,1940,transmitter,American District Telegraph Co
US2313627,G08G 1,1940,treadle control system,Benjamin Cooper
US2314019,H02P 7,1940,control system,Niles Bement Pond Co
US2315755,G01S 3,1940,radio system,Allen Warner Louis
US2319622,H04R 1,1940,phnographic device,Miessner Inv S Inc
US2322653,G08C 21,1940,telautograph device,Bell Telephone Labor Inc
US2324987,H02P 7,1940,control system,Firestone Tire & Rubber Co.
US2325733,B23Q 5,1940,rapid lathe,Monarch Machine Tool Co
US2326515,H04N 7,1940,television system,Gen Electric
US2326584,H04J 3,1940,television system,Hartford Nat Bank & Trust Co
US2328613,B24B 23,1940,polishing machine,Skilsaw Inc
US2330822,G05D 3,1940,follow up control,Ernst Fischer Friedrich
US2336376,G05B 19,1940,phtoelectric control,Ind Scient Corp
US2337589,G05D 1,1940,automatic gear,Britton Chance
US2338395,H03K 3,1940,signal transmission system,Gen Electric
US2338991,G01V 3,1940,magnetic control system,Lane Wells Co
US2347590,G08C 19,1940,electric control,Eugen Binder
US2348862,B41F 13,1940,registratoin control,Fred Goat Co Inc
US2352183,G05G 19,1940,control system,Bullard Co
US2369783,G04C 23,1940,reciever control,John H Homrighous
US2403852,G08C 19,1940,electronic control system,Ncr Co
US2404918,H03K 23,1940,counting system,Research Corp
US2405238,G01S 13,1940,indicate device,Rca Corp
US2408524,B07C 5,1940,electric gauge, Kobe Inc
US2444429,H04L 25,1940,telegraph reciever,Claud E Cleeton
US2208635,G01D 5,1939,displacement control,Axel H Johnson
US2209507,H04N 5,1939,sync system,Du Mont Allen B Lab Inc
US2220872,F16H 21,1939,motion converting,Petco Inc
US2222947,G05D 23,1939,control system,Brown Instr Co
US2224677,H04Q 3,1939,signaling system,Bell Telephone Labor Inc
US2235385,B23K 9,1939,welding,Alexander Rava
US2239776,H03C 1,1939,modulator,Hazeltine Corp
US2242897,B23K 11,1939,control system,Westinghouse Electric & Mfg Co
US2245894,B23Q 15,1939,size controll,Bryant Grinder Corp
US2248442,H03L 7,1939,radio system,Rca Corp
US2249753,H03J 5,1939,electric control,Elliott Harold F
US2249820,B26D 5,1939,register control,Finn H. Guiilksen
US2250209,B41F 13,1939,control system,Gen Electric
US2250241,B23Q 35,1939,hydraulic device,Starrfrasmaschinen A G
US2252293,H03K 7,1939,modulation system,Bell Telephone Labor Inc
US2258859,G06G 3,1939,analyze curve,Leon V Mitelman
US2258912,B65H 35,1939,dispense machine,H. Steen
US2259472,B23Q 35,1939,machine copying,Bailey Meter Co
US2262362,B26D 5,1939,register regulator,Westinghouse Electric & Mfg Co
US2264067,B23K 11,1939,resistance control system,Gen Electric
US2264333,H02P 7,1939,machine speed control,Submarine Signal Co
US2264615,B41B 27,1939,photographic recorder,Ibm
US2265216,H04J 3,1939,multiplex telephone system,Hartford Nat Bank & Trust Co
US2267827,H04M 3,1939,signaling system,Bell Telephone Labor Inc
US2267986,H01H 47,1939,follow up control,Mackavanagh Thomas J
US2268001,H04N 7,1939,television system,Fernseh Gmbh
US2272070,H04B 14,1939,electric signal system,Int Standard Electric Corp
US2273191,G05D 23,1939,measure and control,Brown Instr Co
US2275016,H03K 3,1939,control system,Rca Corp
US2275317,G05B 11,1939,measure control,Bailey Meter Co
US2275460,H03K 3,1939,electric beam,Page Robert M
US2279018,G11B 5,1939,sound record,Rca Corp
US2279646,G01J 3,1939,spectral analysis,Smith Frank P
US2282046,H04J 3,1939,signaling system,Rca Corp
US2283240,B23Q 35,1939,contouring device,Merco Trinkle Machine Co
US2283476,B64C 25,1939,electronic tele control,Ver Deutsche Metallwerke Ag
US2283754,G05D 1,1939,automatic airplane,Sperry Gyroscope Co Inc
US2284415,H04B 7,1939,relay system,Rca Corp
US2285540,F15C 3,1939,control system,Leeds & Northrup Co
US2286561,G05D 1,1939,automatic airplane,Smith & Sons Ltd S
US2288628,H01F 29,1939,electric phase shifing,Lee Frederick W
US2294620,B41F 13,1939,rotary printing,Asea Ab
US2295388,H02J 3,1939,automatic contorl system,Westinghouse Electric & Mfg Co
US2301748,H04Q 3,1939,electric signal system,Ass Telephone & Telegraph Co
US2302009,G06F 1,1939,computing device,Ibm
US2308778,H04Q 3,1939,telephone system,Prince Jr Leon M
US2310955,G05B 11,1939,measure control,Hornfeck Anthony J
US2311682,B30B 15,1939,automatic machine,American Can Co
US2313209,H04J 7,1939,communication system,Georges Valensi
US2318372,G06M 1,1939,operating system,Wrought Washer Mfg Co
US2319480,B23Q 17,1939,micrometer dial,Kearney & Tecker Corp
US2325764,G04F 5,1939,musical device,Gall Charles C
US2325941,G06K 19,1939,computing machine,Ibm
US2331698,G05B 1,1939,measure and control,Brown Instr Co
US2336492,G05B 11,1939,computing device,Wallace & Tiernan Inc
US2348141,G06M 3,1939,computing device,Ibm
US2411741,G01J 3,1939,color matching,Gen Electric
US2438487,F25C 1,1939,articulate ice tray,Servel Inc
US2452549,H03K 3,1939,pulse generator,Cleeton Claud E
US2124906,G06F 7,1938,computing machine,Ibm
US2129049,B23Q 17,1938,milling machine,Gray & Co G A
US2142882,B23B 5,1938,contouring device,Sellers William & Co Inc
US2150813,F16K 31,1938,valve control,Ball Russell C
US2167484,G05D 3,1938,follow up control,Gen Electric
US2169026,B26D 5,1938,cutter register,Westinghouse Electric & Mfg Co
US2169135,B23Q 35,1938,hydraulic device,Brandenberger Heinrich
US2175009,B23K 9,1938,electric control,Gen Electric
US2175320,H03J 7,1938,remote control,Telefunken Gmbh
US2178131,B23Q 35,1938,copying machine,Deckel Friedrich
US2178333,H04B 3,1938,gain control,Bell Telephone Labor Inc
US2179915,H04B 3,1938,gain control,Bell Telephone Labor Inc
US2185199,H04L 27,1938,keying system,Rca Corp
US2185693,H04J 3,1938,signaling system,Bell Telephone Labor Inc
US2191997,G01R 17,1938,measure and control,Brown Instr Co
US2193850,H03K 4,1938,oscillation,Telefunken Gmbh
US2195006,B26D 5,1938,register control,Westinghouse Electric & Mfg Co
US2196385,G05D 1,1938,navigation machine,Florez De
US2199634,H04K 1,1938,communication system,Rca Corp
US2201174,G05D 1,1938,automatic airplane,Sperry Gyroscope Co Inc
US2203468,H03K 17,1938,time control system,Rca Corp
US2204290,G05D 1,1938,automatic control,Robert Alkan
US2205555,G08G 1,1938,treadle circuit,Benjamin Cooper
US2208378,G01S 1,1938,indicate radio purpose,Rca Corp
US2210574,H03K 5,1938,signal system,Ibm
US2211942,H04N 5,1938,electrical signal control,Emi Ltd
US2212799,G06G 7,1938,harmonic analyzer,Sperry Arthur B
US2212967,H03K 5,1938,television system,Emi Ltd
US2213941,H04J 3,1938,signaling system,Bell Telephone Labor Inc
US2216454,H03G 7,1938,volume control,Telefunken Gmbh
US2221517,H02M 1,1938,electric control,Gen Electric
US2227285,B23K 11,1938,welding controller,Cutler Hammer Inc
US2230502,G01V 3,1938,electrical system,Sperry Sun Well Surveying Co
US2232993,B21C 1,1938,wire drawing machine,Nat Standard Company Inc
US2237655,H04N 5,1938,television system,Rca Corp
US2238249,H03C 3,1938,phase shifting,Rca Corp
US2240184,G01B 7,1938,electric gauge,Gen Electric
US2241156,H03K 23,1938,selecting system,Stromberg Carlson Telephone
US2244500,H04M 1,1938,telephone system,Bell Telephone Labor Inc
US2250284,H04N 5,1938,frequency control,Rca Corp
US2255739,B23B 3,1938,machine tool,Potter & Johnston Machine Comp
US2258943,H04N 5,1938,sync system,Rca Corp
US2262354,B23Q 35,1938,control system,Brown Instr Co
US2262838,H04J 3,1938,signaling system,Int Standard Electric Corp
US2266401,H04J 3,1938,signaling system,Int Standard Electric Corp
US2266668,H03K 3,1938,frequency control system,Nat Television Corp
US2270991,G01D 15,1938,meter,Kurman Electric Co
US2273193,H04J 3,1938,frequency control system,Bell Telephone Labor Inc
US2278654,H02K 19,1938,inductor,Western Union Telegraph Co
US2281405,G10L 21,1938,transmission system,"Barrish George, Barrish Robert Lloyd"
US2286571,B25J 9,1938,position control system,Pollard Willard L V
US2294209,H03C 3,1938,radio system,Gen Electric
US2295000,G08C 19,1938,rapid calculator,Eastman Kodak Co
US2302049,G05F 1,1938,measure and control,Brown Instr Co
US2305878,G05B 11,1938,ELECTROnic control system,Adolf Krtissman
US2307099,H04L 15,1938,speed telegraph,Rca Corp
US2307503,B23Q 35,1938,machine control,Westinghouse Electric & Mfg Co
US2101754,B23Q 5,1937,carraige control,Anna M Randall
US2125584,B24B 19,1937,adjusting device,Rotzoll Erich
US2131759,G05D 3,1937,machine control,Submarine Signal Co
US2133161,B30B 15,1937,electric power control,Clark Controller Co
US2140138,H04M 1,1937,impulse measure system,Bell Telephone Labor Inc
US2146876,H04N 7,1937,transmission system,Rca Corp
US2147728,H01Q,1937,phase shifting,Bell Telephone Labor Inc
US2150032,B23Q 5,1937,machine speed control,Vickers Inc
US2152336,H03J 7,1937,remote control,Philips Nv
US2154354,H02P 9,1937,regulator system,Russell Ranson
US2155267,G01B 7,1937,foil guage,Gen Electric
US2158285,G04F 10,1937,impulse measure system,Rca Corp
US2162491,B23Q 35,1937,tracer machine,Rosen Oscar E
US2165800,G05D 1,1937,navigation machine,Rca Corp
US2166316,B61L 5,1937,train system,Union Switch & Signal Co
US2166688,H04N 5,1937,television system,Rca Corp
US2166785,H02J 3,1937,sync system,Gen Electric
US2167189,B23B 39,1937,machine tool,Verderber Joseph
US2170751,H04B 1,1937,frequency control system,Gabrilovitch Leonide
US2179822,G06G 5,1937,balacne computer,Lewis W Imm
US2182555,H03K 3,1937,frequency control system,Telefunken Gmbh
US2183725,G05D 3,1937,remote control system,Rca Corp
US2185363,H03K 4,1937,thermionic valve,Emi Ltd
US2185367,H03F 3,1937,thermer valev control,Emi Ltd
US2186268,G01R 13,1937,recording system,Westinghouse Electric & Mfg Co
US2193606,G01J 3,1937,photosensitive,Westinghouse Electric & Mfg Co
US2199820,H03H 11,1937,radio system,Bell Telephone Labor Inc
US2203689,G05D 23,1937,record and control,Foxboro Co
US2204438,G01S 1,1937,navigation machine, Neufeld Jacob
US2207744,G08C 19,1937,coding mechanism,Teletype Corp
US2209395,H03B 19,1937,signal system,Ibm
US2213246,G11B 5,1937,magnetic sound recording,Herman S Heller
US2215776,H03K 4,1937,cathod ray system,Int Standard Electric Corp
US2218818,B21D 37,1937,hydraulic machine,Vickers Inc
US2221516,G01B 7,1937,thickness control system,Gen Electric
US2224646,B07C 5,1937,electric control system,"William F Friedman, Vernon E Whitman"
US2225680,H04M 1,1937,impulse system,Boswau Hans P
US2228843,H02M 7,1937,electric valve,Gen Electric
US2229326,G11B 5,1937,sound record,Heller Herman S
US2229449,H03H 7,1937,phase shifting,Gen Electric
US2230681,H04L 25,1937,telephone system,Teleregister Corp
US2233415,G05D 3,1937,position control system,Sperry Gyroscope Co Inc
US2236532,H03B 19,1937,freqeuency control,Gibbs Thomas B
US2245829,H02J 13,1937,remote control system,Rca Corp
US2253654,G05D 3,1937,remote control system,Telefunken Gmbh
US2255814,G01G 19,1937,distributor device,Jean A Roche
US2257757,G01S 3,1937,radio system,Sperry Gyroscope Co Inc
US2268859,H04Q 1,1937,impulse control system,Zwietusch E & Co Gmbh
US2269501,G06M 1,1937,traffic counting,Streeter Amet Co
US2279338,B23K 7,1937,cutting machine,Oxweld Acetylene Co
US2318591,H03M 1,1937,digital serve,Louis Couffignal Pierre
US2349963,G05B 11,1937,measure control,Brown Instr Co
US2364873,B23Q 35,1937,control device,Rosen Oscar E
US2066617,B65H 35,1936,dispense machine,Nashua Gummed & Coated Paper
US2066619,B65H 35,1936,dispense machine,Nashua Gummed & Coated Paper
US2066949,G01C 21,1936,navigation machine,Gen Electric
US2082607,H02J 7,1936,electric system,Gen Electric
US2091152,H01J 31,1936,ocsillograph,Gen Electric
US2092142,B23C 3,1936,automatic system,Schuz Hans
US2092442,H04J 3,1936,communication system,Cameron Colwell Robert
US2097392,H04L 17,1936,electronic control system,Finch William G H
US2098051,H04L 27,1936,oscillation,Gen Electric
US2100375,H03G 3,1936,gain control,Bell Telephone Labor Inc
US2100934,B64C 17,1936,airplane control,Eclipse Aviat Corp
US2104200,B23K 9,1936,weld control,Smith Corp A O
US2104690,H02M 1,1936,electric valve,Gen Electric
US2105016,H04M 7,1936,telephone system,Associated Electric Lab Inc
US2106342,H04B 1,1936,electric discharge,Bell Telephone Labor Inc
US2113011,H03B 19,1936,thermionic valve,Emi Ltd
US2113214,H04B 14,1936,frequency control system,Rca Corp
US2117752,H03B 19,1936,harmonic,Bell Telephone Labor Inc
US2129920,G05F 1,1936,electric control system,Gerald Alan S Fitz
US2130172,H03C 3,1936,radio system,Armstrong Edwin H
US2132213,G01C 13,1936,recording system,Bell Telephone Labor Inc
US2133456,H04L 25,1936,telegraphy system,Bell Telephone Labor Inc
US2134743,B23Q 17,1936,position control system,Ingersoll Milling Machine Co
US2134901,G05D 3,1936,electric control,Republic Flow Meters Co
US2137545,H04N 5,1936,circuit detector,Firm Of Fernseh Ag
US2137847,G05D 1,1936,moving machine,Gen Electric
US2138862,A61B 17,1936,utility tool,Walter E Johnston
US2142602,G01P 1,1936,phtoelectric control,Blethen Fredrick W
US2144337,G06G 7,1936,electrical device,Rca Corp
US2144735,B23Q 5,1936,machine tool,Sundstrand Machine Tool Co
US2154252,B41C 1,1936,routing machine,Shilkoff
US2154492,H03K 3,1936,radio signal system,Rca Corp
US2155229,H02H 11,1936,protective system,Gen Electric
US2163632,H02P 7,1936,rotation control,Submarine Signal Co
US2164728,G05D 3,1936,electric control,Republic Flow Meters Co
US2166824,G01J 5,1936,temperature control,Gen Electric
US2168047,G08C 21,1936,electric control,Bell Telephone Labor Inc
US2170087,G01C 9,1936,indicate device,Harry L Mcpherson
US2171151,H03C 1,1936,modulator,Telefunken Gmbh
US2172354,H04J 3,1936,signaling system,Emi Ltd
US2173921,B23K 11,1936,welding timer,Cutler Hammer Inc
US2175573,H01J 31,1936,electric beam,Telefunken Gmbh
US2176742,G05D 3,1936,frequency control,Gen Electric
US2179690,H04L 25,1936,telemetric device,Western Union Telegraph Co
US2187364,B64C 11,1936,airplane control,Paulin Jean Pierre Ratie
US2198248,H04B 1,1936,communication system,Rca Corp
US2226677,B23Q 35,1936,automatic machine,Vikhman Victor
US2235826,F41G 5,1936,airplane control,Sperry Gyroscope Co Inc
US2240428,H03J 7,1936,electrical control system,Philco Radio & Television Corp
US2256482,G08C 19,1936,data control system,Sperry Gyroscope Co Inc
US2256487,G05D 3,1936,data transformer,Sperry Gyrescope Company Inc
US2004613,H03H 7,1935,phase shifting,Bell Telephone Labor Inc
US2006737,H05B 41,1935,flash device,Westinrhonse Electric a Manufacturing Com
US2017920,B65H 20,1935,printing machine,Nat Postal Meter Company
US2018720,B30B 15,1935,electronic control system,Cutler Hammer Inc
US2036983,H02P 5,1935,sync system,Gen Electric
US2071180,B23Q 15,1935,electric control,Niles Bement Pond Co
US2078667,H02J 3,1935,automatic control system,Westinghouse Electric & Mfg Co
US2079837,F16H 63,1935,power mechanism,Buckley Arthur H
US2085442,G05D 3,1935,remote control system,Newell Arthur B
US2088654,G05D 3,1935,position control system,Sperry Gyroscope Co Inc
US2091562,F24F 3,1935,air conditioning,B F Sturtevant Co
US2099065,H04L 13,1935,distributor device,American Telephone & Telegraph
US2111607,H04B 3,1935,telephone system,Bell Telephone Labor Inc
US2111643,G01V 1,1935,seismometer,Western Geophysical Company
US2113165,H02P 25,1935,speed control,Rca Corp
US2114013,F16K 31,1935,valve control,Ball Russell C
US2120882,H03C 1,1935,modulator,Stuart Ballantine
US2126910,G05D 1,1935,electrical control system,Sperry Gyroscope Co Inc
US2134982,B61L 1,1935,train system,Gen Railway Signal Co
US2139558,G05D 3,1935,gyro,Sperry Gyroscope Co Inc
US2141237,H04L 25,1935,electric telegrphy,Commercial Cable Company
US2143035,G01S 1,1935,distance measure device,Submarine Signal Co
US2148267,G01S 1,1935,radio system,Henri Honore Etienne Augustin
US2148578,H04Q 1,1935,signal system,Bell Telephone Labor Inc
US2150776,G08G 1,1935,traffic anallyzer,Gen Electric
US2158584,G01S 1,1935,navigation machine,Siemens App & Maschinen Gmbh
US2165733,G06M 1,1935,counter system,Veeder Root Inc
US2165892,G08C 15,1935,telemetric device,American Telephone & Telegraph
US2168460,G08B 25,1935,signaling system,Ibm
US2172313,B23Q 35,1935,automatic control,Union Carbide & Carbon Corp
US2206852,H01J 40,1935,testing machine,Illinois Tool Works
US2207709,G01S 1,1935,radio system,Sperry Gyroscope Co Inc
US2207743,G08C 19,1935,tele control,Teletype Corp
US1790722,H04N 1,1934,photo,R. H. Ranger
US1998939,B23Q 35,1934,contouring device,Gen Electric
US2008399,H02H 7,1934,back arc,Westinghouse Electric & Mfg Co
US2032598,B23Q 15,1934,automatic lathe,Pratt & Whitney Co
US2034708,H03J 5,1934,remote control system,Bell Telephone Labor Inc
US2043923,C10M,1934,lubricant process,Alox Corp
US2050059,H03K 3,1934,relay system,Rca Corp
US2050629,G01F 23,1934,electric tele control,Leeds & Northrup Co
US2056769,G05B 11,1934,electric control system,Siemens Ag
US2061734,H03K 7,1934,signaling system,Rca Corp
US2080186,G01C 21,1934,remote control,Reymond Henry Claude
US2087667,G01G 7,1934,computer device,Pennsylvania Railroad Co
US2087782,H02P 5,1934,speed control,Rossman Engineering Company
US2089441,G08C 19,1934,telemetric device,Builders Iron Foundry
US2098227,G01S 3,1934,telegraphy system,Csf
US2098695,G01R 13,1934,electrocardiograph,Southwick Laurence F
US2104801,G01R 23,1934,frequency control,Rca Corp
US2114330,H01C 10,1934,divider,Bristol Company
US2116593,B23Q 35,1934,cutting or milling machine,Western Electric Co
US2118944,G06M 1,1934,control system,Western Electric Co
US2128361,H05B 37,1934,electric system,Cutler Hammer Inc
US2132654,H04N 5,1934,electrical control system,Rca Corp
US2148026,B65H 35,1934,tape serve machine,Krueger Theodore H
US2213108,B25J 9,1934,painting machine, Pollard Jr Willard Lacey Georg
US1959178,B23Q 35,1933,tracker control,Cincinnati Milling Machine Co
US1959298,H02P 9,1933,regulator system,Westinghouse Electric & Mfg Co
US1969500,F01B 17,1933,crank ,Timken Roller Bearing Co
US1971313,G01R 13,1933,indicate device,Lewis Eng Co
US1973279,G05D 3,1933,electric control,Westinghouse Electric & Mfg Co
US1975023,H02P 5,1933,remote control system,Paul Duclos Ets
US1980146,H03K 17,1933,time control system,Philips Nv
US1980585,H03J 5,1933,radio control system,Hygrade Sylvania Corp
US1982216,G06K 13,1933,sorting machine,Ibm
US1983229,H02P 5,1933,displacement control,G & J Weir Ltd
US1986915,F03B 15,1933,hydraulic system,James Leffel And Company
US1994232,G01R 27,1933,frequency control system,Jr Oscar H Schuck
US1996665,B65C 11,1933,vend dispense machine,Charles Walker
US2007577,H03J 1,1933,remote control,LAB Corp
US2008623,G01F 3,1933,fluid meter,Mcgogy Donald H
US2012249,B23C 9,1933,automatic position machine,Cincinnati Milling Machine Co
US2021099,H04Q 9,1933,electric control system,Gerald Alan S Fitz
US2023436,H03K 3,1933,arrangement current,Telefunken Gmbh
US2029335,G05B 19,1933,control machine,Ingersoll Milling Machine Co
US2031639,H03C 1,1933,modulator,Rca Corp
US2032597,B23B 7,1933,automatic lathe,Pratt & Whitney Co
US2041245,H04J 3,1933,signaling system,Radio Res Lab Inc
US2044618,H01J 17,1933,electronic control system,Gen Electric
US2047922,B63B 29,1933,gyro,Nl Tech Handel Mij Giro
US2048081,H04J 3,1933,communication system,Riggs Alger S
US2057111,H04L 17,1933,telegraphy system,Teletype Corp
US2076335,H03K 5,1933,slsecting device,Meaf Mach En Apparaten Fab Nv
US2088659,G05D 3,1933,phase shifting,Sperry Gyroscope Co Inc
US2093197,H02M 7,1933,electric control system,Bbc Brown Boveri & Cie
US2098872,G06M 7,1933,electric control,"Bur Arnold G, Heins Rudolf J, Krippner Philip G"
US2115086,G05D 3,1933,remote control,Sperry Gyroscope Co Inc
US2189898,G06G 7,1933,communication system,Bell Telephone Labor Inc
US1926875,H03C 1,1932,modulator,Beil Telephone Lab Inc
US1927702,G06F 7,1932,computer device,Int Communications Lab Inc
US1930609,H04L 27,1932,signaling system,American Telephone & Telegraph
US1932589,H03B 19,1932,frequency control system,American Telephone & Telegraph
US1942209,B23Q 17,1932,machine tool,Brown & Sharpe Mfg
US1945496,B30B 1,1932,press actuate machine,Cushman Chuck Company
US1955322,H02P 25,1932,motor control,Westinghouse Electric & Mfg Co
US1956581,B23K 7,1932,reproduce machine,Marguerite Krebs
US1962943,H02J 3,1932,control system,Gen Electric
US1977536,H03C 1,1932,electrical control system,Tubbs Ernest A
US1981224,B23C 1,1932,automatic position machine,Associated Patents Inc
US1992055,H01J 40,1932,photoelectric,Gen Electric
US1993413,B30B 15,1932,electric control,Clark Controller Co
US1998938,G05D 3,1932,electronic control system,Gen Electric
US1999378,H03K 4,1932,television system,Rca Corp
US2000678,H03G 3,1932,CONDENSOR,Rca Corp
US2002353,H03J 1,1932,remote control,Fed Telegraph Co
US2018399,B07C 5,1932,guage control,Western Electric Co
US2018820,H03L 7,1932,frequency control,Rca Corp
US2025748,B23Q 35,1932,pattern control,Atlantic Prec Instr Company
US2025978,B60R 16,1932,electric switching,Getty Fred I
US2026330,G06K 9,1932,reading machine,Gustav Tausch
US2034738,H04B 7,1932,radio system,Rca Corp
US2048192,G06M 1,1932,counting system,Marston Curtis A
US2049376,H03K 21,1932,electrical system,Gen Electric
US2052255,B26D 5,1932,control system,Gen Electric
US2052263,B26D 5,1932,control system,Gen Electric
US2057820,B23K 7,1932,cutting and profiling,Air Reduction
US2058114,H03L 7,1932,frequency control,Rca Corp
US2067145,B61L 7,1932,traffic control system,Gen Railway Signal Co
US2087039,G06M 7,1932,counting system,G M Lab Inc
US2089936,G06M 7,1932,counter system,Ahlburg Frank
US2113164,G05D 23,1932,record and reproduce,Leeds & Northrup Co
US2115834,H02P 7,1932,motor control,Taylor Instrument Co
US2122464,H03K 25,1932,electrical control system,Associated Electric Lab Inc
US2123142,G06G 7,1932,calculating device,G M Lab Inc
US2139057,G01S 19,1932,radio system,Washington Inst Of Technology
US2199547,G06F 7,1932,recording system,Ibm
US2228902,B23Q 35,1932,automatic machine,Foxboro Co
US1844243,H02P 7,1931,motor control,Cutler Hammer Inc
US1869209,G01R 17,1931,thermer measure,Gen Electric
US1877605,G05D 23,1931,motor control system,Honeywell Regulator Co
US1886616,G11B 5,1931,recording system,Addison Invest Company
US1913200,G01R 13,1931,ocsillograph,Gen Electric
US1924003,B23C 3,1931,cutting machine,Pratt & Whitney Co
US1930155,B30B 15,1931,hydraulic press,Oilgear Co
US1931873,H04H 20,1931,frequency control,Bell Telephone Labor Inc
US1936947,H04L 25,1931,telegraph system,Western Union Telegraph Co
US1938684,G01R 31,1931,testing machine,Bell Telephone Labor Inc
US1938781,B23C 1,1931,milling machine,Cincinnati Milling Machine Co
US1939443,G05B 24,1931,regulator system,Westinghouse Electric & Mfg Co
US1939706,F41G 3,1931,gun system,Karnes James C
US1948185,F16F 9,1931,shock absorber,Padgett Joseph E
US1950011,G11B 7,1931,recording system,Wired Radio Inc
US1954142,H02P 25,1931,control system,Gen Electric
US1958258,G05D 1,1931,automatic machine,Gen Electric
US1965377,H04Q 1,1931,regenerator unit,Teleregister Corp
US1966077,H02H 9,1931,surge abstorbing system,Radio Patents Corp
US1976400,H03K 4,1931,cathode ray scanning,Telefunken Gmbh
US1977997,A63J 17,1931,control system,Rca Corp
US1994757,G01F 1,1931,controll physical change,Florez
US2003968,G11B 5,1931,telegraphy system,Bell Telephone Labor Inc
US2004294,H03G 3,1931,automatic volume control,Rca Corp
US2005018,B23Q 5,1931,hydraulic machine,Lapointe Machine Tool Co
US2005153,H04N 5,1931,sync system,Communications Patents Inc
US2005425,G11B 7,1931,recording system,Kwartin Bernard
US2018268,G01R 23,1931,indicate device,Westinghouse Electric & Mfg Co
US2055309,H04J 3,1931,communication system,George Ramsey
US2064454,H02P 25,1931,machine speed control,Sperry Gyroscope Co Inc
US2098587,G04C 23,1931,automatic radio control,Markowitz Jesse
US2103297,H04L 12,1931,computing system,Associated Electric Lab Inc
US1818963,H02P 5,1930,speed control,Gen Electric
US1827586,B07B 1,1930,vibrating mechanism,Walter L Keefer
US1831614,C10M,1930,gear,Six
US1849642,B23Q 15,1930,motion control system,Max Schenker
US1862327,G11B 7,1930,recording system,Rca Corp
US1866838,B23G 1,1930,radio control system,Victor C Thorne
US1868507,B24B 23,1930,portable sander,Freed A
US1890877,H04L 12,1930,electric signal system,Teleregister Corp
US1893205,B24B 49,1930,guage control,New Departure Mfg Co
US1896052,B23Q 5,1930,hydraulic,Oilgear Co
US1896805,G05D 1,1930,radio system, Sperry Gyroscope Co Inc
US1911178,B60L 15,1930,control system,Bbc Brown Boveri & Cie
US1921983,G01C 19,1930,gyro,Sperry Gyroscope Co Inc
US1928812,H02K 33,1930,electric control system,Westinghouse Electric & Mfg Co
US1946531,H04L 12,1930,electric signal system,Teleregister Corp
US1947249,H04M 11,1930,telegraphy system,Vannevar Bush
US1951523,G01B 9,1930,electric control system,Communications Patents Inc
US1960945,B65H 35,1930,strip system,Krueger Theodore H
US1963600,H04M 3,1930,signaling system,Associated Electric Lab Inc
US1977624,G05D 3,1930,position control system,Arma Engineering Co Inc
US1992945,H04L 12,1930,order device,Teleregister Corp
US2002374,B26D 5,1930,control system,Gen Electric
US2010158,F15B 11,1930,signaling system,Teletype Corp
US2013649,F16D 67,1930,clutch,Colman Howard D
US2020868,B23Q 5,1930,boring machine,W F & John Barnes Company
US2021743,H04J 3,1930,signaling system,Communications Patents Inc
US2031503,B26D 5,1930,light cell control,Griffith Rainey Alexander
US2046328,H04L 21,1930,printing telegraph system,Teletype Corp
US2055031,H01H 43,1930,control system,Prosperity Co Inc
US2068293,H04J 1,1930,electric machine,American Telephone & Telegraph
US2079429,G06F 7,1930,interpretating card,Ibm
US2096954,H04L 25,1930,computing system,Associated Electric Lab Inc
US2108025,B23Q 35,1930,hydraulic machine,Niles Bement Pond Co
US2108146,G06G 7,1930,ratio computer,Automatic Telephone & Elect
US2127687,B64C 11,1930,propeller,American Propeller Company
US2134118,H04L 12,1930,automatic monitoring,Int Standard Electric Corp
US2164032,H04B 14,1930,radio system,Day Albert V T
US2181682,H04L 12,1930,electric indicate system,Teleregister Corp
US2192217,H04L 12,1930,computing system,Associated Electric Lab Inc
US1747664,F41G 5,1929,automatic machine,Droitcour Howard Andrew
US1800760,G08C 21,1929,remote control,Sleeper Res Lab Inc
US1826963,H02P 1,1929,induction motor,Cutler Hammer Inc
US1844950,H04L 15,1929,automatic control,Rca Corp
US1849518,B60M 3,1929,power supply system,Frazer W Gay
US1855509,H04L 27,1929,radio system,Crosley Radio Corp
US1871710,G01R 7,1929,metering system,Westinghouse Electric & Mfg Co
US1873842,H03B 5,1929,frequency control system,Wired Radio Inc
US1883163,H03J 1,1929,remote control system,Bell Telephone Labor Inc
US1887460,B65H 35,1929,dispense machine,Nelson John H
US1893009,G06G 7,1929,calculator,Bethlehem Steel Corp
US1898477,H04J 9,1929,fading elimination,Telefunken Gmbh
US1901628,H02H 3,1929,electric device,Westinghouse Electric & Mfg Co
US1910254,H04S 3,1929,sound record,Bell Telephone Labor Inc
