from,to,weigh,year
US3631244A,US3784820A,1,1970
US3808440A,US4071760A,1,1974
US3573458A,US3808440A,1,1971
US3591806A,US3808440A,1,1971
US3780290A,US4071760A,1,1974
US3573458A,US3780290A,1,1972
US3697753A,US3780290A,1,1972
US3852611A,US4071760A,1,1974
US3670163A,US3852611A,1,1972
US3940625A,US4071760A,1,1974
US3737660A,US3940625A,1,1973
US3755672A,US3940625A,1,1973
US3970853A,US4181939A,1,1977
US3899675A,US3970853A,1,1975
US3777142A,US3899675A,1,1974
US4044240A,US4181939A,1,1977
US3852603A,US4044240A,1,1975
US3684886A,US4044240A,1,1975
US3784820A,US4044240A,1,1975
US3878373A,US4044240A,1,1975
US3622784A,US3878373A,1,1971
US3743843A,US4044240A,1,1975
US3793520A,US4044240A,1,1975
US3831032A,US4044240A,1,1975
US3852611A,US4044240A,1,1975
US3936636A,US4044240A,1,1975
US3946234A,US4044240A,1,1975
US4048501A,US4181939A,1,1977
US3717762A,US4048501A,1,1976
US3777142A,US4048501A,1,1976
US3777161A,US4048501A,1,1976
US3717767A,US3777161A,1,1972
US3860822A,US4048501A,1,1976
US3659103A,US3860822A,1,1973
US3622785A,US3860822A,1,1973
US3591806A,US3860822A,1,1973
US4070578A,US4181939A,1,1977
US3757351A,US4070578A,1,1976
US3701923A,US4070578A,1,1976
US3965354A,US4070578A,1,1976
US3715594A,US3965354A,1,1975
US3891851A,US3965354A,1,1975
US3694655A,US3891851A,1,1974
US3715590A,US3891851A,1,1974
US4107531A,US4181939A,1,1977
US4002917A,US4107531A,1,1976
US4010370A,US4107531A,1,1976
US3852605A,US4010370A,1,1974
US3746862A,US3852605A,1,1972
US3783287A,US3852605A,1,1972
US3633029A,US3783287A,1,1972
US3940626A,US4010370A,1,1974
US3774030A,US3940626A,1,1973
US3949229A,US4010370A,1,1974
US3665184A,US3949229A,1,1974
US3622785A,US3949229A,1,1974
US3983399A,US4107531A,1,1976
US4358856A,US6167145A,1,1996
US3803417A,US4358856A,1,1980
US3803418A,US4358856A,1,1980
US3892967A,US4358856A,1,1980
US3803417A,US3892967A,1,1973
US4288700A,US4358856A,1,1980
US4002357A,US4288700A,1,1979
US3901270A,US4002357A,1,1975
GB2094590A,US6167145A,1,1996
EP0062941B1,US6167145A,1,1996
